University Name,URL
Acharaya Nagarjuna University,http://www.anu.ac.in
Adikavi Nannaya University,http://www.nannayauniversity.info/
Andhra University,http://www.andhrauniversity.info/
Dr. B.R.Ambedkar University,http://www.brau.in
Dr. N.T.R. University of Health Sciences,http://ntruhs.ap.nic.in
Dr. Y.S.R. Horticultural Univerity,http://www.drysrhu.edu.in/
Dravidian University,http://www.dravidianuniversity.ac.in
Jawaharlal Nehru Technological University,http://www.jntuk.edu.in
Jawaharlal Nehru Technological University,http://www.jntua.ac.in
Krishna University,http://www.krishnauniversity.ac.in
Rayalaseema University,http://www.rayalaseemauniversity.ac.in
Sri krishnadevaraya University,http://www.skuniversity.org
Sri Padmavati Mahila Vishwavidyalayam,http://www.spmvv.ac.in
Sri Venkateswara Institute of Medical Sciences,http://www.svimstpt.ap.nic.in
Sri Venkateswara University,http://www.svuniversity.ac.in
Sri Venkateswara Vedic University,http://www.svvedicuniversity.org
Sri Venkateswara Veterinary University,http://www.svvu.edu.in
Vikram Simhapuri University,http://www.simhapuriuniv.ac.in
Yogi Vemana University,http://www.yogivemanauniversity.ac.in
Rajiv Gandhi University,http://www.rgu.ac.in
Assam Agricultural University,http://www.aau.ac.in
Assam Rajiv Gandhi University of Co-operative Management,http://argucom.org.in
Assam Science & Technology University,http://www.astu.org.in
Assam Women's University,http://www.awu.ac.in
Bodoland University,http://www.bodolanduniversity.ac.in
Cotton College State University,http://www.ccsu.ac.in
Dibrugarh University,http://www.dibru.ac.in
Gauhati University,http://www.gauhati.ac.in
Krishna Kanta Handique State Open University,http://www.kkhsou.in
National Law University and Judicial Academy,http://www.nluassam.ac.in/
Srimanta Sankaradeva University of Health Sciences,http://ssuhs.in
Tezpur University,http://www.tezu.ernet.in
Babasaheb Bhimrao Ambedkar Bihar University,http://www.brabu.net/
Bhupender Narayan Mandal University,http://bnmu.bih.nic.in
Chanakya National Law University,http://www.cnlu.ac.in
Jai Prakash vishwavidyalaya(university),http://jpv.bih.nic.in
Kameshwar Singh.Darbhanga Sanskrit Vishwavidyalaya,http://www.ksdsu.edu.in
Magadh University,http://www.magadhuniversity.ac.in/
Maulana Mazharul Haque Arabic & Persian University,http://mmhapu.bih.nic.in
Nalanda Open University,http://www.nalandaopenuniversity.com
Patna University,http://www.patnauniversity.ac.in
Rajendra Agricultural University,http://www.pusavarsity.org.in
T.M. Bhagalpur University,http://www.tmbu.org
Veer Kunwar Singh University,http://www.vksu-ara.org
Central University of South Bihar,http://www.cub.ac.in
Mahatma Gandhi Central University,http://mguniversity.ac.in
Nalanda University,http://www.nalandauniv.edu.in
Anand Agricultural University,http://www.aau.in
Children's University,http://www.cugujarat.ac.in
Dharmsinh Desai University,http://www.ddit.ac.in
Navsari Agricultural University,http://www.nau.in/
Gujarat Ayurveda University,http://www.ayurveduniversity.edu.in
Gujarat Forensic Sciences University,http://www.gfsu.edu.in
Gujarat National Law University,http://www.gnlu.ac.in
Gujarat Technological University,http://www.gtu.ac.in
Gujarat University,http://www.gujaratuniversity.org.in
Hemchandracharya North Gujarat University,http://www.ngu.ac.in
Indian Institute of Teacher Education,http://iite.ac.in
Junagarh Agricultural University,http://www.jau.in
Krantiguru Shyamji Krishna Verma Kachchh University,http://kskvku.digitaluniversity.ac
Maharaja Sayajirao University of Baroda,http://www.msubaroda.ac.in
Sardar Patel University,http://www.spuvvn.edu
Saurashtra University,http://www.saurashtrauniversity.edu
Shree Somnath Sanskrit University,http://www.shreesomnathsanskrituniversity.org
Swarnim Gujarat Sports University,http://www.sgsu.edu.in
Veer Narmad South Gujarat University,http://www.vnsgu.ac.in
Ch. Bansi Lal University,http://www.cblu.ac.in
Chaudhary Devi Lal University,http://www.cdlu.in
